titleEN;titleCZ;KeywordsEN;KeywordsCZ;AbstractEN;AbstractCZ;Supervisor
Automation of the Release Process in the Context of Liferay DXP Technology;Automatizace release procesu v kontextu technologie Liferay DXP;Liferay, release, CI/CD, DevOps, analysis, deployment, Docker, Git, GitHub Actions;analýza, CI/CD, DevOps, deployment, GitHub Actions, Liferay, release, Docker, Git;Bachelor thesis addresses the release process within the company Lundegaard a.s., particularly in relation to projects built on content management system Liferay. The main objective of this thesis is to provide client-friendly and operationally efficient methods for building and deploying Liferay applications. The results of this thesis were consulted with various stakeholders, both within Lundegaard and with interested parties from the customer side. Thesis briefly introduces underlying terminology, especially in relation to the DevOps and CI/CD concepts. This introduction, analysis of the technical aspects of the Liferay technology and review of the current practices in operating solution in question led to the positing of analytical conclusions, highlighting weaknesses and potential resolutions. Based on these conclusions, a conceptual dataflow proposition for an adjusted process was developed, which was discussed with Lundegaard&amp,apos,s client. Feedback received was utilized in preparing a prototype utilizing the GitHub Actions service. Finally, the thesis summarizes important implementation notes and possibilities for further system development.;Bakalářská práce se věnuje problematice release procesu ve firmě Lundegaard a.s., a to na projektech postavených na content management systému Liferay. Hlavním cílem práce je poskytnout klientsky a provozně přívětivější způsob sestavení a nasazení Liferay aplikace, výstupy práce byly konzultovány s různými stakeholdery jak u firmy Lundegaard, tak u jejich odběratele. Práce stručně představuje základní terminologii, zejména v souvislosti s pojmy DevOps a CI/CD. Na základě tohoto vymezení, analýzy technických aspektů technologie Liferay a inspekce současných zvyklostí v provozu dodávaných řešení byly představeny analytické závěry, poukazující na slabá místa a možnosti jejich řešení. Na základě těchto závěrů byl sestaven koncept dataflow upraveného procesu, který byl prodiskutován s Klientem firmy Lundegaard a dle zpětné vazby došlo k přípravě prototypu využívající služby GitHub Actions. V práci jsou na závěr shrnuty důležité implementační poznámky a možnosti dalšího rozvoje.;Fortinová, Jana
Digital literacy in secondary schools in the Czech Republic;Digitální gramotnost na středních školách v ČR;digital literacy, secondary schools, educational system, comparative analysis, Czech Republic;vzdělávací systém, střední školy, srovnávací analýza, Česká republika, digitální gramotnost;Bachelor&amp,apos,s thesis focuses on assessing the level of digital literacy among secondary school students in the Czech Republic. Using a quantitative method of a knowledge test, the work analyses the digital competencies of students from various types of secondary schools and compares them concerning the years of study. The theoretical part defines and elaborates on the concept of literacy, emphasising digital literacy, including an overview of programs measuring various types of literacy applied in the Czech educational system. Furthermore, the integration of digital literacy into school curricula is examined, both from a historical perspective and in light of current educational trends in the European Union and the Czech Republic. The practical part of the thesis presents research that methodologically follows the theoretical frameworks outlined and examines the digital competencies of students from different types of secondary schools. The research was conducted through a test, the results of which were analysed to compare digital skills between grammar school students, students of vocational schools, apprenticeships, and students of various grades. In conclusion, the author of the thesis comments on the findings in relation to the research.;Bakalářská práce se zaměřuje na hodnocení úrovně digitální gramotnosti studentů středních škol v České republice. S použitím kvantitativní metody vědomostního testu se práce věnuje analýze digitálních kompetencí studentů různých typů středních škol a porovnává je mezi sebou s ohledem na studované ročníky. V teoretické části je definován a rozveden koncept gramotnosti s důrazem na digitální gramotnost včetně přehledu měřicích programů různých typů gramotností aplikovaných v českém vzdělávacím systému. Dále je zkoumána integrace digitální gramotnosti do školních osnov, jak z historického pohledu, tak ve světle současných trendů vzdělávání v Evropské unii a v České republice. Praktická část práce představuje výzkum, který metodologicky navazuje na uvedené teoretické rámce a zkoumá digitální kompetence studentů různých typů středních škol. Výzkum byl realizován prostřednictvím testu, jehož výsledky byly analyzovány s cílem srovnání digitálních dovedností mezi gymnazisty, studenty středních odborných škol a učilišť a mezi studenty různých ročníků. Závěrem autorka práce komentuje zjištěné skutečnosti v souvislosti s výzkumem.;Radváková, Věra
Interpretation of conjunction in large language models;Interpretace konjunkce ve velkých jazykových modelech;conjunction, representativeness heuristic, conjunction fallacy, ChatGPT, Microsoft Copilot, Gemini, Llama 2, large language models;velké jazykové modely, konjunkce, reprezentativní heuristika, klam konjunkce, ChatGPT, Microsoft Copilot, Gemini, Llama 2;This bachelor thesis is devoted to the interpretation of conjunction in large language models (specifically GPT 3.5, GPT 4, Gemini a Llama 2), focusing on conjunction in the context of cognitive biases and the different meanings of conjunction across fields. The thesis should clarify in the field of artificial intelligence and natural language processing, how large language models behave in relation to conjunction and the cognitive biases that are associated with conjunction. The first part of the thesis describes different understandings of conjunction from the perspective of different fields. Next, the paper introduces the issue of large language models. The thesis then focuses on describing previous studies, which then form the basis for the second, practical part. Here it is tested, using prompts, whether models are subject to the conjunction fallacy and the influence of the representational heuristic. Furthermore, by hiding parts of the text behind meaningless identifiers, in various forms of prompts, the thesis attempts to achieve better results in tests of the representational heuristic and the conjunction fallacy. Furthermore, we investigate whether the choice of conjunction used in a possible conjunction answer affects the number of correct model answers. Finally, the thesis tests the effect of using different conjunctions on the translation into predicate logic symbols. The results are then subjected to hypothesis testing, specifically Fisher&amp,apos,s exact test. Tests have shown that large language models can interpret conjunction better when translated from natural language to predicate logic symbols if it is represented by a simpler conjunction. In terms of cognitive biases and the probability rule for conjunction, the models do not perform well. The models are subject to the influence of the representational heuristic and the conjunction fallacy. The number of correct model responses (for the representational heuristic and the conjunction fallacy) improved after hiding the parts of the text that the model responses suggested caused cognitive bias behind meaningless identifiers. Changing the conjunction (for a simpler one) in the possible answer of assignment did not result in a significant improvement based on the tests.;Tato bakalářská práce je věnována interpretaci konjunkce ve velkých jazykových modelech (konkrétně GPT 3.5, GPT 4, Gemini a Llama 2) se zaměřením na konjunkci v kontextu kognitivních zkreslení a různých významů konjunkce napříč obory. Měla by v oboru umělé inteligence a zpracování přirozeného jazyka více objasnit, jak se velké jazykové modely chovají ve vztahu ke konjunkci a kognitivním zkreslením s konjunkcí spojených. První část bakalářské práce popisuje odlišná chápání konjunkce z hlediska různých oborů. Dále práce představuje problematiku velkých jazykových modelů. Následně se práce zaměřuje na popsání předchozích studií, z nichž potom vychází druhá, praktická část. Zde je testováno pomocí promptů, zda modely podléhají klamu konjunkce a vlivu reprezentativní heuristiky. Dále se v práci pomocí skrývání částí textu za bezvýznamové identifikátory, v různých podobách zadání, pokoušíme docílit lepších výsledků v testech reprezentativní heuristiky a klamu konjunkce. Jako další zkoumáme, zda výběr spojky použité v možné odpovědi s konjunkcí má vliv na počet správných odpovědí modelů. Nakonec se práce zabývá testováním vlivu použití různých spojek v souvětí na překlad do symbolů predikátové logiky. Následně jsou výsledky testů podrobeny testování hypotéz, konkrétně Fisherovu exaktnímu testu. Testy ukázaly, že velké jazykové modely dokážou při překladu z přirozeného jazyka do symbolů predikátové logiky interpretovat konjunkci lépe, pokud je znázorněna jednodušší spojkou. Z hlediska kognitivních zkreslení a pravidla pravděpodobnosti pro konjunkci si modely nevedou dobře. Modely podléhají vlivu reprezentativní heuristiky a klamu konjunkce. Počet správných odpovědí modelů (u reprezentativní heuristiky a klamu konjunkce) se zlepšil po skrytí částí textu, které podle odpovědí modelu způsobovaly kognitivní zaujetí, za bezvýznamové identifikátory. Změnou spojky (za jednodušší) v možné odpovědi zadání nebylo na základě testů dosaženo signifikantního zlepšení.;Kliegr, Tomáš
Strojové učení pomocí knihoven Qiskit a squlearn;Machine learning using libraries Qiskit and squlearn;klasické strojové učení,  Parkinsonova nemoc, kvantové strojové učení,  qiskit, squlearn, scikit-learn;quantum machine learning, classical machine learning, Parkinson’s disease, qiskit, squlearn, scikit-learn;Bakalářská práce se zabývá využitím a porovnáním kvantových a klasických technik strojo- vého učení, konkrétně se zaměřuje na klasifikační úlohy pro diagnostiku Parkinsonovy choroby s využitím současných frameworků, jako jsou qiskit a squlearn pro kvantové strojové učení a scikit-learn pro klasické přístupy. Studie posuzuje, jak tyto technologie zvládají a analyzují datové soubory. Cílem je provést podrobný přehled a srovnání kvantových algoritmů oproti klasickým metodám se zaměřením na jejich výkonnost v klasifikačních úlohách, konkrétně s ohledem na evaluační metriky jako jsou přesnost, úplnost a F1-skóre. Práce je strukturována do různých etap, počínaje teoretickým úvodem do kvantového strojového učení, následova- ným předzpracováním dat a výběrem příznaků pomocí vzájemné informace a implementací a hodnocením jak u klasifikátoru s podpůrnými vektory, tak jeho kvantového ekvivalentu, QSVC algoritmu. Tyto modely jsou testovány na dvou datových sadách a jejich výsledky jsou porovnávány s předchozími výzkumy. Práci uzavírá diskuse o srovnávacích výsledcích, kontrolní test s využitím datové sady &amp,quot,Oxford Parkinson’s disease detection dataset&amp,quot,a zkou- mání důležitých atributů a jejich vlivu na prediktivní výkonnost modelů.;The bachelor thesis deals with the use and comparison of quantum and classical machine learning techniques, specifically focusing on classification tasks for the diagnosis of Parkinson’s disease. Using current frameworks such as qiskit and squlearn for quantum machine learning and scikit-learn for classical approaches. The study assesses how these technologies handle and analyze datasets. The aim is to perform a detailed review and comparison of quantum algorithms versus classical methods, focusing on their performance in classification tasks, specifically with respect to evaluation metrics such as precision, recall and F1-score. The work is structured in different stages, starting with a theoretical introduction to quantum machine learning, followed by data preprocessing and feature selection using mutual information, and the implementation and evaluation of both the support vector machine classifier and its quantum equivalent, the QSVC algorithm. These models are tested on two datasets and the results are compared with previous research. The paper concludes with a discussion of the comparative results, a control test using the Oxford Parkinson’s disease detection dataset, and an examination of the important attributes and their effect on the predictive performance of the models.;Kliegr, Tomáš
Mobile Application with Medicine Notifications;Mobilní aplikace s funkcionalitou připomínání léků;Git, open-source, Android, Kotlin;Kotlin, Android, open-source, Git;This bachelor thesis solves the problematics of developing a mobile application with the functionality of medicine reminders. Several methods are used to achieve this goal, such as MVP, Git-flow, design patterns, guided interviews, and questionnaire survey. Preliminary search reveals that most participants struggle with forgetting to take medicine once a week on average. The output of this thesis is an application prototype and with the use of a survey it is found that it has a positive impact on dealing with forgetting to take medicine.;Tato bakalářská práce řeší problematiku vývoje mobilní aplikace s funkcionalitou připomínání léků. K dosažení cíle je použita vývojová metodika MVP, Git-Flow, návrhové vzory, řízené rozhovory a dotazníkové šetření. V předvýzkumu je zjištěno, že většina respondentů má problémy se zapomínáním léků v průměru jednou týdně. Výsledkem práce je prototyp aplikace a pomocí dotazníkového šetření je zjištěno, že má pozitivní dopad na zapomínání léků.;Vencovský, Filip
Design and Implementation of an Application for Employee Pick-ups Planning;Návrh a implementace aplikace pro plánování svozu zaměstnanců;React, business analysis, MMSP, Spring Boot, UML, software development;Spring Boot, UML, byznys analýza, vývoj softwaru, MMSP, React;The main objective of this bachelor thesis is to analyze the restaurant&amp,apos,s business and based on the discovered facts, to design and implement a prototype application that will support the process of planning employee pick-ups in the restaurant. The author of the thesis is employed in the management of the examined restaurant. The motivation for the topic is the lack of application support for a particular business process, which causes problems in the restaurant&amp,apos,s operation.  The main objective of the thesis is decomposed into five sub-objectives. The first sub-objective is to analyze the problem area of employee pick-ups at the examined restaurant. Based on the findings, the second sub-objective, the determination of the application development methodology, is established. The MMSP methodology was selected and adapted for the development. The third sub-objective is the collection and analysis of the application requirements. The requirements are managed, completed, and specified in a requirements catalog. The fourth sub-objective is the selection of technologies and the design of the solutions. The fifth sub-objective is the actual implementation of the prototype and its evaluation. The methods used in this thesis include literature and internet resources research, observation, questioning, analysis, synthesis, and abstraction. The result of the work is a working prototype that is positively evaluated by the stakeholders. The thesis is then a documentation of the entire analysis and development process. Selected disciplines and tasks from the MMSP methodology are performed and recorded in the thesis. The thesis&amp,apos,s contribution consists of application support for the problematic business process.;Hlavním cílem této bakalářské práce je zanalyzovat byznys zkoumané restaurace a na základě zjištěných skutečností pak navrhnout a implementovat prototyp aplikace, která bude v dané restauraci podporovat proces plánování svozu zaměstnanců. Autor práce je zaměstnán v managementu zkoumané restaurace. Motivací tématu je nedostatečná aplikační podpora konkrétního byznys procesu, která způsobuje problémy v provozu restaurace.  Hlavní cíl práce je dekomponován na pět dílčích cílů. Prvním dílčím cílem je analýza problémové oblasti svozu zaměstnanců na zkoumané restauraci. Na základě zjištěných faktů je stanoven druhý dílčí cíl, stanovení metodiky vývoje aplikace. Pro vývoj byla zvolena a přizpůsobena metodika MMSP. Třetí dílčí cíl je sběr a analýza požadavků na aplikaci. Požadavky jsou řízeny, doplňovány a specifikovány v katalogu požadavků. Čtvrtý dílčí cíl spočívá ve výběru technologií a návrhu řešení. Posledním pátým dílčím cílem je poté samotná implementace prototypu a jeho zhodnocení. Metody použité v práci zahrnují rešerši odborné literatury a internetových zdrojů, pozorování, dotazování, analýzu, syntézu a abstrakci. Výsledkem práce je funkční prototyp, který je zainteresovanými stranami kladně zhodnocen. Práce samotná je pak dokumentací celého procesu analýzy a vývoje. V práci jsou vykonány a zaznamenány vybrané disciplíny a úlohy z metodiky MMSP. Přínos práce spočívá v aplikační podpoře problémového byznys procesu.;Vencovský, Filip
Comparison of the ICT Usage in Secondary Schools in South Bohemia and Upper Austria;Porovnání využití  ICT na středních školách v jižních Čechách a Horním Rakousku;school information system, ICT, secondary school, e-learning;ICT, školní informační systém, e-learning, střední škola;The aim of this thesis is to determine and analyse the extent of the use of available ICT solutions in the operation of secondary schools in the South Bohemia Region, and to make a basic comparison with secondary schools in neighbouring Upper Austria. Methods such as questionnaire survey, guided interviews, comparison of results or personal observation are used in the practical part. The thesis is divided into two main parts. In the first part, concepts related to the topic of the thesis, i.e. information and communication technology, school information system and e-learning, are theoretically described. This is followed by an analysis of the components of e-learning and school information systems, including a description of the current state of the art. In addition, it is possible to find current legislation and conceptual strategies related to ICT in teaching and school operation. The second part of the thesis is practical, in which we conduct research on the use of ICT in secondary schools. Through the research conducted, it is found that the level of use of ICT resources is at a similar level in schools in both regions. At the end, the research results and limitations of this work are discussed in detail.;Cílem této práce je zjistit a analyzovat míru využití dostupných ICT řešení v provozu středních škol v Jihočeském kraji, a udělat základní porovnání se středními školami v sousedícím Horním Rakousku. K řešení jsou použity metody, jako je dotazníkové šetření, řízené rozhovory, porovnávání výsledků nebo vlastní pozorování. Práce je rozdělena na dvě hlavní části. V první části jsou teoreticky popsány pojmy související s tématem práce, tedy informační a komunikační technologie, školní informační systém a e-learning. Následuje analýza součástí e-learningových a školních informačních systémů, včetně popisu současného stavu. Dále práce obsahuje aktuální legislativu a koncepční strategie, vztahující se k ICT ve výuce a provozu škol. Druhá část práce je praktická, ve které provádíme výzkum využití ICT na středních školách. Provedeným výzkumem je zjištěno, že míra využití ICT prostředků je ve školách obou regionů na podobné úrovni. V závěru jsou podrobně uvedeny výsledky výzkumu a limity této práce.;Radváková, Věra
Predicting the rating of scientific papers;Predikce hodnocení vědeckých prací;machine learning, score prediction, Scientometrics;predikce hodnocení, strojové učení, Scientometrie;This bachelor thesis deals with the prediction of scientific publication ratings using machine learning methods. The main aim of this bachelor thesis is to find out what success can be achieved in predicting the peer review ratings of scientific publications. A search of studies dealing with the prediction of scientific publication reviews is conducted to achieve the main objective. Software tools and libraries for applying machine learning methods are described. Data collection and description of datasets are also described. Evaluation metrics for assessing model performance are also described, as well as machine learning methods. In the experimental part, traditional machine learning methods such as logistic regression, linear regression, decision trees, the AutoGluon-Tabular interface, and the SciBERT language model are applied. Then, the results of the models from the experimental part are compared.;Tato bakalářská práce se zabývá predikcí hodnocení vědeckých publikací pomocí metod strojového učení. Hlavním cílem této bakalářské práce je zjistit, s jakou úspěšností lze predikovat recenzní hodnocení vědeckých publikací. Pro dosažení hlavního cíle je provedena rešerše studií zabývající predikcí hodnocení vědeckých publikací. V rámci metodiky jsou popsány softwarové nástroje a knihovny pro aplikování metod strojového učení. Dále je popsán sběr dat a popis datasetů. Také jsou popsány evaluační metriky pro zhodnocení výkonnosti modelů a metody strojového učení. V rámci experimentální části jsou aplikovány tradiční metody strojového učení jako je logistická regrese, lineární regrese, rozhodovací stromy a také rozhraní AutoGluon-Tabular a jazykový model SciBERT. Potom jsou výsledky modelů z experimentální části porovnávány.;Kliegr, Tomáš
The influence of social networks on the communication of study materials;Vliv sociálních sítí na komunikaci studijních materiálů;study materials, students, social networks, Discord, university;sociální sítě, studijní materiály, vysoká škola, Discord, studenti;The bachelor thesis focuses on social networks and their influence on university student’s studies. The aim of the final thesis is to find out how students of the Faculty of Informatics and Statistics of the Prague University of Economics and Business prepare for exams, especially to what extent they use social networks for their preparation. The partial goal is to further analyse pros and cons of shared study materials from social networks.  For an overall view of the investigated issue, the theoretical part includes the history and present of social networks, then the possibilities of its use in the studies of students of the Faculty of Informatics and Statistics. In the practical part a questionnaire survey is carried out to obtain information regarding the use of shared study materials from social networks by students. This is followed by quided interviews to provide a deeper insight into the problem. The author then compares the results between two groups of students divided by year of study with his own observations, where answers to research question are then provided to help meet the set goals.;Bakalářská práce se věnuje sociálním sítím a jejich vlivu na studium vysokoškolských studentů. Cílem závěrečné práce je zjistit, jak se konkrétně studenti bakalářského studia Fakulty informatiky a statistiky Vysoké školy ekonomické v Praze připravují ke zkouškám, především do jaké míry k přípravě využívají sociální sítě. Dílčím cílem je dále zanalyzovat klady a zápory sdílených studijních materiálů ze sociálních sítí. Pro celkový pohled na zkoumanou problematiku je v teoretické části obsažena historie a současnost sociálních sítí, poté také možnosti využití ve studiu u studentů Fakulty informatiky a statistiky. V praktické části je provedeno dotazníkové šetření pro získání informací ohledně využívání sdílených studijních materiálů ze sociálních sítí studenty. Následují řízené rozhovory pro poskytnutí hlubšího pohledu do problému. Autor poté porovnává výsledky mezi dvěma skupinami studentů rozdělených dle ročníku studia se svým vlastním pozorováním, kdy poté dochází k odpovědím na výzkumné otázky, které mají pomoci splnit stanovené cíle.;Radváková, Věra
The Impact of Social Media on the Mental Health of Young People;Vliv sociálních sítí na mentální zdraví mladých lidí;social media consumption, influence of social media, social networks, mental health;vliv sociálních sítí, konzumace sociálních sítí, sociální sítě, mentální zdraví;The presented bachelor&amp,apos,s thesis focuses on examining the influence of social networks on the mental health of young people. With the increase in the use of social networks among the young population, the need to understand the effects of these platforms on the psychological state and well-being of individuals becomes more urgent. The aim of the bachelor&amp,apos,s thesis is to find out what concrete effects the long-term use of social networks has on the mental health of young people and to find out whether young people actively try to limit their screen time. The work deals with the analysis of various aspects, including content consumption, online interaction through social networks and the psychological consequences of such behaviour. To achieve the goal, a questionnaire survey methodology was chosen, which included a random selection of respondents aged 14-30 and a case study comparing 2 close friends. The case study focuses on the impact of social media on their work/school life.;Předkládaná bakalářská práce se zaměřuje zkoumáním vlivu sociálních sítí na mentální zdraví mladých lidí. S nárůstem používání sociálních sítí mezi mladou populací se stává naléhavější potřebou porozumět dopadům těchto platforem na psychický stav a pohodu jednotlivců. Cílem bakalářské práce je zjistit, jaké konkrétní dopady má dlouhodobé používání sociálních sítí na mentální zdraví mladých lidí a dále zjistit, jestli se mladí lidé snaží svůj čas u obrazovky aktivně omezovat. Práce se zabývá analýzou různých aspektů, včetně konzumace obsahu, interakcí online prostřednictvím sociálních sítí a psychologických důsledků takového chování. Pro dosažení cíle byla zvolena metodika dotazníkového šetření, do kterého byl zakomponován náhodný výběr respondentů ve věku 14-30 let a případová studie porovnání 2 blízkých přátel. Případová studie se zaměřuje na dopad sociálních sítí na jejich pracovní/školní život.;Radváková, Věra
The use of ICT in teaching in elementary schools, including special elementary schools;Využití  ICT ve výuce na základních školách, s přihlédnutím na speciální základní školy;English language teaching, elementary schools, ICT in education, Interactive whiteboards, special elementary schools, primary schools;speciální základní školy, základní školy, ICT ve vzdělávání, výuka anglického jazyka, interaktivní tabule;This bachelor thesis focuses on the utilization of interactive whiteboards in English language teaching at primary schools, with consideration for special primary schools. The aim of the thesis is to describe how these technologies impact the educational process and how they are integrated into daily teaching. The theoretical section provides an overview of interactive whiteboards, their functionalities, and their potential to enhance student engagement. Furthermore, the thesis analyses various pedagogical approaches and methods that teachers employ to effectively incorporate these tools into teaching. The practical section presents the evaluation of data obtained from questionnaires administered to English language teachers at the primary stage of Prague elementary schools, including those from special primary schools. This illustrates how teachers perceive interactive whiteboards in English language teaching the primary stage of elementary schools.;Bakalářská práce se zabývá využitím interaktivních tabulí ve výuce anglického jazyka na základních školách, s přihlédnutím na speciální základní školy. Cílem práce je popsat, jak tyto technologie ovlivňují vzdělávací proces a jak jsou integrovány do každodenní výuky. Teoretická část poskytuje přehled o interaktivních tabulích, jejich funkcích a potenciálu pro zvýšení angažovanosti žáků. Dále práce analyzuje různé pedagogické přístupy a metody, které učitelé využívají pro efektivní začlenění těchto nástrojů do výuky. V praktické části je prezentováno vyhodnocení dat získaných z dotazníkového šetření od učitelů anglického jazyka na prvním stupni pražských základních škol, včetně těch ze speciálních základních škol. Což ilustruje, jakým způsobem učitelé vnímají interaktivní tabule ve výuce anglického jazyka na prvním stupni.;Radváková, Věra
Usage of ICT in education - comparison between the first and second grades of primary schools;Využití ICT ve výuce - porovnání prvního a druhého stupně základních škol;mathematics, computer science, pupil with SEN, pupils, Information and communication technologies, ICT in primary schools, teaching hours, English language, special educational needs;Informační a komunikační technologie, informatika, speciální vzdělávací potřeby, žák se SVP, ICT na základních školách, žáci, vyučovací hodiny, anglický jazyk, matematika;The bachelor thesis focuses on the usage of information and communication technologies (ICT) in primary and secondary grades, comparing them in subjects such as mathematics, English language and computer science. The primary aim is to compare ICT usage between primary and secondary grades, taking into account students with special educational needs. Additionally, it aims to map and analyze the use of digital devices in the final years of both, including interactive whiteboards, laptops, computers, tablets, mobile phones, etc., with a focus on students with special educational needs who may use ICT beyond regular instructions. A questionnaire survey conducted at four elementary schools in Prague provides data from both pupils and teachers, who expressed their opinions on the type of device used, frequency of usage  and sometimes the manner of use. Interactive whiteboards are the most commonly used (across all researched schools) with younger pupils actively engaging with them, while older pupils primarily use them as projection screens. Additionally mobile phones and tablets are frequently integrated into lessons at the primary grade, while computers are used more at the secondary grade. Pupils with special educational needs use mobile devices for translations, simplifying tasks in lessons as well as for games primarily aimed at practice and revision. Supplemented and expanded by structural interviews, the findings suggest that ICT is an integral part of classroom teaching, enriching and motivating pupils.;Bakalářská práce se soustředí na využívání informačních a komunikačních technologií ve vyučovacích hodinách na základních školách, kdy porovnává první a druhý stupeň v předmětech matematiky, anglického jazyka a informatiky. Cílem je především porovnat použití informačních a komunikačních technologií na prvním a druhém stupni základních škol i s ohledem na žáky  se speciálními vzdělávacími potřebami a zmapovat a analyzovat práci s digitálními zařízeními v posledních ročnících prvního a druhého stupně, kdy se jedná nejen o interaktivní tabule, ale také notebooky, počítače, tablety, mobilní telefony aj., opět s ohledem na žáky se speciálními vzdělávacími potřebami, kteří mohou ICT využívat i nad rámec běžné výuky.  Dotazníkové šetření na čtyřech základních školách v Praze přináší data od žáků i jejich učitelů, kteří se vyjadřovali k druhu používaného zařízení, četnosti využití i způsobu. Nejvíce se používá interaktivní tabule (na prvním i druhém stupni), kdy s ní mladší žáci pracují, pro starší slouží zejména jako promítací plátno. Dále se často zapojují do výuky mobilní telefony, tablety na prvním stupni a počítače na druhém. Žáci se SVP využívají mobilního zařízení k překladům a jinému zjednodušování činností ve výuce, ale i ke hrám, primárně sloužícím jako procvičování a opakování. Řízené rozhovory informace doplnily a rozšířily. Závěrem lze shrnout, že ICT je nedílnou součástí vyučovacích hodin, žáky obohacuje a motivuje.;Radváková, Věra
Community portal for users of XDENT and LABINO services;Komunitní portál pro uživatele služeb XDENT a LABINO;web application, XDENT, Vue.js, user support, .NET 6, LABINO, community center;podpora uživatelů, webová aplikace, Vue.js, .NET 6, komunitní centrum, XDENT, LABINO;The company Infinity Energy s.r.o. deals with the development of web applications that aim to facilitate the work of dentists and laboratory technicians. For this purpose, this company has developed the XDENT and LABINO applications. Currently, however, users do not have a simple and unambiguous solution for exchanging information with each other, obtaining instructions and expressing feedback. This bachelor&amp,apos,s thesis aims to design and implement a web application called &amp,quot,Infinity Community&amp,quot, that will allow users of XDENT and LABINO to easily share and obtain information, view tutorials, and give feedback on XDENT and LABINO. The thesis first introduces the reader to the XDENT, LABINO applications, their user base, and current problems. Furthermore, the requirements for the first version are analysed and the available solutions are analysed. After this analysis, the actual design of the application is carried out. Part of this work is also familiarization with the important technologies that were used to implement this application. In the next part, the author describes the more interesting parts of the application. Next, it will be described how the application was tested and what the results of the testing were. And finally, the application was tested and launched in test environment.;Společnost Infinity Energy s.r.o. se zabývá vývojem webových aplikací, které mají za cíl usnadnit práci stomatologům a laborantům. Pro tento účel tato společnost vyvinula aplikace XDENT a LABINO. V současné době ale uživatelé nemají jednoduché a jednoznačné řešení pro výměnu informací mezi sebou, získání návodů a vyjádření zpětné vazby. Tato bakalářská práce má za cíl navrhnout a implementovat webovou aplikaci s názvem „Infinity Community“, která uživatelům aplikací XDENT a LABINO umožní jednoduše sdílet a získávat informace, zobrazit návody a vyjádřit zpětnou vazbu k aplikacím XDENT a LABINO. Práce nejprve seznámí čtenáře s aplikacemi XDENT, LABINO, jejich uživatelskou základnou a současnými problémy. Dále je provedena analýza požadavků pro první verzi a jsou analyzována dostupná řešení. Po této analýze je proveden samotný návrh aplikace. Součástí této práce je také seznámení s důležitými technologiemi, které byly využity k implementaci této aplikace. V další části autor popisuje zajímavější části aplikace. Dále pak bude popsán průběh testování aplikace a k jakým výsledkům testování vedlo. Na závěr byla aplikace otestována a spuštěna do testovacího provozu.;Vojíř, Stanislav
System for vehicle and refueling management;Systém pre evidenciu vozidiel a tankovania;evidence system, web application, Java 17, Spring Boot, Thymeleaf, fleet management, evidence of refueling;Java 17, Spring Boot, webová aplikácia, Thymeleaf, správa vozového parku, evidenčny´ systém, evidencia tankovania;This bachelor&amp,apos,s thesis represents the solution of problems that may occur in companies during fleet management, service planning and operations related to refueling at their own fueling facility. The thesis focuses on the design and implementation of a web application used to record vehicles and refueling. Creating such an application is the main goal of this bachelor&amp,apos,s thesis. To achieve this goal, it was first necessary to collect the exact requirements of the client and then analyze the existing systems that could meet these requirements. Based on this analysis, the most suitable solution was chosen. Subsequently, the design of the application took place, followed by implementation. The Spring Boot Java framework was chosen for the backend part. The user interface was implemented using the Thymeleaf framework. After implementation and user testing, correction of detected errors took place.The result of the bachelor thesis is a functional web application that meets all the analyzed requirements and is available in a web browser.;Táto bakalárska práca predstavuje riešenie problémov, ktoré môžu nastať v podnikoch pri riadení vozového parku, servisnom plánovaní a operáciách spojeny´ch s tankovaním na vlastnom tankovacom zariadení. Práca sa zameriava na návrh a implementáciu webovej aplikácie slúžiacej na evidenciu vozidiel a tankovania. Vytvorenie takejto aplikácie je hlavny´m cieľom tejto práce. Na dosiahnutie tohto cieľa bolo najprv potrebné zozbieranie presny´ch požiadaviek klienta a následná analy´za existujúcich systémov, ktoré by mohli tieto požiadavky spĺňať. Na základe tejto analy´zy bolo zvolené najvhodnejšie riešenie. Po definícii požiadaviek na aplikáciu prišiel na rad jej návrh, čo následne vyústilo do fázy implementácie. Pre backendovú časť bol zvoleny´ Java framework Spring Boot. Užívateľské rozhranie bolo implementované za pomoci Thymeleaf frameworku. Po implementácií prebehlo užívateľské testovanie a oprava odhaleny´ch chy´b. Vy´sledkom bakalárskej práce je funkčná webová aplikácia, ktorá spĺňa všetky zanalyzované požiadavky a je dostupná vo webovom prehliadači.;Vojíř, Stanislav
