Order,URL,TitleEN,ScienceBranchID,Authors,Abstract,Keywords
112,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00572566%21RIV24-AV0-67985556,Commutative monoid duality,10103,"Latz, Jan Niklas;Swart, Jan M.","We introduce two partially overlapping classes of pathwise dualities between interacting particle systems that are based on commutative monoids (semigroups with a neutral element) and semirings, respectively. For interacting particle systems whose local state space has two elements, this approach yields a unified treatment of the well-known additive and cancellative dualities. For local state spaces with three or more elements, we discover several new dualities.",interacting particle system;duality;monoid;semiring
113,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00572085%21RIV24-AV0-67985556,"COMPUTER SIMULATION STUDY OF THE STABILITY OF UNDERACTUATED BIPEDAL ROBOT MODELS (motivated by Griffin and Grizzle, 2017)",20204,"Polach, P.;Anderle, Milan;Zezula, Pavel;Papáček, Štěpán","A key feature for bipedal walkers (robots and humans as well) is their stability or disturbance rejection defined as the ability to deal with unexpected disturbances. The paper by Griffin and Grizzle (2017) have significantly contributed to the shift from flat ground to slopes and steps when evaluating the walking efficiency of their robots. Similarly, in this contribution, based on the appropriate model of robot dynamics and control law, we examine the stability of walking-without-falling for different ground perturbations for a threelink compass gait walker. I.e., we perform the sensitivity analysis of the walking stability of underactuated bipedal walker with respect to certain disturbation using the alaska/MultibodyDynamics simulation tool.",Mechatronics;Bipedal robot;Multibody dynamics;Acrobot;Control applications
114,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00573803%21RIV24-AV0-67985556,Computing the decomposable entropy of belief-function graphical models,10102,"Jiroušek, Radim;Kratochvíl, Václav;Shenoy, P. P.","In 2018, Jiroušek and Shenoy proposed a definition of entropy for Dempster-Shafer (D-S) belief functions called decomposable entropy (d-entropy). This paper provides an algorithm for computing the d-entropy of directed graphical D-S belief function models. We illustrate the algorithm using Almond's Captain's Problem example. For belief function undirected graphical models, assuming that the set of belief functions in the model is non-informative, the belief functions are distinct. We illustrate this using Haenni-Lehmann's Communication Network problem. As the joint belief function for this model is quasi-consonant, it follows from a property of d-entropy that the d-entropy of this model is zero, and no algorithm is required. For a class of undirected graphical models, we provide an algorithm for computing the d-entropy of such models. Finally, the d-entropy coincides with Shannon's entropy for the probability mass function of a single random variable and for a large multi-dimensional probability distribution expressed as a directed acyclic graph model called a Bayesian network. We illustrate this using Lauritzen-Spiegelhalter's Chest Clinic example represented as a belief-function directed graphical model.",Dempster-Shafer theory of belief functions;Decomposable entropy;Belief-function directed graphical models;Belief-function undirected graphical models
115,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00574160%21RIV24-AV0-67985556,Conditional histogram analysis of discrete questionnaire data,10103,"Reznychenko, T.;Uglickich, Evženie;Nagy, Ivan","The paper deals with the analysis of histograms of discrete data collected in questionnaires obtained for individual realizations of the target variable. The main aim of the analysis is to explore the influence of combinations of explanatory variables, represented by responses to the questionnaire, on the behaviornof the target variable of the questionnaire. In this paper, an automated approach to histogram comparison is proposed based on coding combinations of data and detecting significant differences in frequencies using the Marascuilo procedure. This is the main contribution of the paper. The approach is validated using a simulated questionnaire in which respondents answered regarding their intention to purchase an electric vehicle subject to finance, leasing, and charging availability, as well as their driving style. The results of the experiments are demonstrated.",conditional histograms;discrete data;Marascuilo procedure;questionnaire analysis
116,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00573516%21RIV24-AV0-67985556,CONSENSUS OF MULTI-AGENT SYSTEMS AND STABILIZATION OF LARGE-SCALE SYSTEMS WITH TIME DELAYS AND NONLINEARITIES - A COMPARISON OF BOTH PROBLEMS,20205,"Rehák, Branislav;Lynnyk, Volodymyr","The problem of stabilization of large-scale systems and the consensus problem of multi-agent systems are related, similar tools for their solution are used. Therefore, they are occasionally confused. Although both problems show similar features, one can also observe important differences. A comparison of both problems is presented in this paper. In both cases, attention is paid to the explanation of the effects of the time delays. The most important fact is that, if the time delays are heterogeneous, full synchronization of the multi-agent systems cannot be achieved, however, stabilization of the large-scale network is reachable. In the case of nonlinear systems, we show that the stabilization of a large-scale nonlinear system is possible under more restrictive assumptions compared to the synchronization of a nonlinear multi-agent system.",Large-scale interconnected systems;Multi-agent systems;Time delays;Nonlinearity
117,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00567218%21RIV24-AV0-67985556,Contractivity of Bellman operator in risk averse dynamic programming with infinite horizon,10103,"Kopa, M.;Šmíd, Martin","The paper deals with a risk averse dynamic programming problem with infinite horizon. First, the required assumptions are formulated to have the problem well defined. Then the Bellman equation is derived, which may be also seen as a standalone reinforcement learning problem. The fact that the Bellman operator is contraction is proved, guaranteeing convergence of various solution algorithms used for dynamic programming as well as reinforcement learning problems, which we demonstrate on the value iteration and the policy iteration algorithms.",Risk aversion;Dynamic programming;Infinite horizon
118,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00574862%21RIV24-AV0-67985556,Control Principles of Stationary Articulated Robots Used in Cyber-Physical Factories,20204,"Belda, Květoslav;Venkrbec, L.","This paper deals with control principles and means, used for research and development purposes supporting and improving motion control of industrial stationary articulated robots. These robots represent the main automation elements on all levels of today’s industrial productions considering all technologies such as manipulation, welding, assembling, painting and others. In conjunction with conveyor belts, they are essential for cyber-physical factories built on concepts of Industry 4.0. The related modelling principles are proposed and explained with respect to used control approaches conventional and advanced including software tools supporting the programming, rapid prototyping, verification and commissioning.",industrial robotics;real-time experiments;motion control;model predictive control
119,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00545617%21RIV24-AV0-67985556,Corporate Social Responsibility and Stock Prices After the Financial Crisis: The Role of Strategic CSR Activities,50204,"Havlínová, A.;Kukačka, Jiří","We analyze the relationship between corporate social responsibility and the stock market performance in the post-global financial crisis period. A new measure of social responsibility by Thomson Reuters, called the ESG Combined Score, is used. As a novel feature of our analysis, socially responsible engagement is divided into the strategic activities closely related to the examined companies’ core business and the remaining secondary activities. The results of the fixed effects regression show a positive and statistically, as well as economically, significant impact of the strategic activities on the corporate stock market performance of companies. This impact is up to 103% higher compared to the secondary activities. The empirical results suggest that if companies aim to increase their share prices via the corporate social responsibility channel, they should strategically select their socially responsible initiatives.",corporate social responsibility;strategic CSR;business ethics;corporate financial performance
120,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00575361%21RIV24-AV0-67985556,Count Predictive Model with Mixed Categorical and Count Explanatory Variables,10103,"Uglickich, Evženie;Nagy, Ivan;Reznychenko, T.","The paper considers the problem of online prediction of a count variable based on real-time explanatory data of mixed count and categorical nature. The presented solution is based on (i) recursive Bayesian estimation of a mixture model of Poisson-distributed explanatory counts, using the categorical explanatory variable as a measurable pointer of the mixture, (ii) construction of a mixture of local Poisson regressions on the clustered data, and (iii) use of the pre-estimated mixtures for online prediction of the target count using actual measured explanatory data. The latter is one of the main contributions of the proposed approach. In addition, the dynamic model of the categorical explanatory variable preserves the functionality of the algorithm in case of its measurement failure. The experiments with simulations and real data report lower prediction errors compared to theoretical counterparts.",count data;Poisson mixtures;Poisson regression;recursive Bayesian mixture estimation
121,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00578171%21RIV24-AV0-67985556,Curvature-dependent Eulerian interfaces in elastic solids,10101,"Brazda, K.;Kružík, Martin;Rupp, F.;Stefanelli, U.","We propose a sharp-interface model for a hyperelastic material consisting of two phases. In this model, phase interfaces are treated in the deformed configuration, resulting in a fully Eulerian interfacial energy. In order to penalize large curvature of the interface, we include a geometric term featuring a curvature varifold. Equilibrium solutions are proved to exist via minimization. We then use this model in an Eulerian topology optimization problem that incorporates a curvature penalization.",elasticity;multi-phase materials;interfacial energy;varifolds;curvature varifolds
122,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00579532%21RIV24-AV0-67985556,Decreasing trends of ammonia emissions over Europe seen from remote sensing and inverse modelling,10509,"Tichý, Ondřej;Eckhardt, S.;Balkanski, Y.;Hauglustaine, D.;Evangeliou, N.","Ammonia (NH3), a significant precursor of particulate matter, affects not only biodiversity, ecosystems, and soil acidification but also climate and human health. In addition, its concentrations are constantly rising due to increasing feeding needs and the large use of fertilization and animal farming. Despite the significance of ammonia, its emissions are associated with large uncertainties, while its atmospheric abundance is difficult to measure. Nowadays, satellite products can effectively measure ammonia with low uncertainty and a global coverage. Here, we use satellite observations of column ammonia in combination with an inversion algorithm to derive ammonia emissions with a high resolution over Europe for the period 2013–2020. Ammonia emissions peak in northern Europe due to agricultural application and livestock management, in western Europe (industrial activity), and over Spain (pig farming). Emissions have decreased by −26 % since 2013 (from 5431 Gg in 2013 to 3994 Gg in 2020), showing that the abatement strategies adopted by the European Union have been very efficient. The slight increase (+4.4 %) in 2015 is also reproduced here and is attributed to some European countries exceeding annual emission targets. Ammonia emissions are low in winter (286 Gg) and peak in summer (563 Gg) and are dominated by the temperature-dependent volatilization of ammonia from the soil. The largest emission decreases were observed in central and eastern Europe (−38 %) and in western Europe (−37 %), while smaller decreases were recorded in northern (−17 %) and southern Europe (−7.6 %). When complemented with ground observations, modelled concentrations using the posterior emissions showed improved statistics, also following the observed seasonal trends. The posterior emissions presented here also agree well with respective estimates reported in the literature and inferred from bottom-up and top-down methodologies. These results indicate that satellite measurements combined with inverse algorithms constitute a robust tool for emission estimates and can infer the evolution of ammonia emissions over large timescales.",ammonia emissions;inverse modelling;remote sensing
123,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00579899%21RIV24-AV0-67985556,"Delamination and Adhesive Contacts, Their Mathematical Modeling and Numerical Treatment",10101,"Roubíček, Tomáš;Kružík, Martin;Zeman, Jan;Panagiotopoulos, CH. G.;Vodička, R.;Mantič, V.","This chapter reviews mathematical approaches to inelastic processes on the surfaces of elastic bodies. We mostly consider a quasistatic and rate-independent evolution at small strains. Various concepts of solutions are introduced and applied (including their comparison), e.g., to elastic-brittle delamination, cohesive contact problems, and to delamination in various fracture modes, or combined with friction. Besides the theoretical treatment, numerical experiments are also presented. Several implicit time discretization schemes are exploited. Finally, generalizations to dynamic and thermodynamic processes are outlined, together with an extension to the homogenization of composite materials with debonding phases.",rate-independent processes;delamination;debonding;friction;thermodynamics
124,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00599299%21RIV25-AV0-67985556,Does quantum version of decision theory make sense?,10201,"Gaj, Aleksej;Kárný, Miroslav","Contemporary decision making (DM) theory stands on classical probability. However, it has been shown that there is a variety of situations when the decision theory fails to explain some psychological and cognitive effects observed in human decision making. Other aspects not covered by the classical approach are that the results of merging information depend on the order of merging, or that the observation influences the next state. The main question posed is whether quantum probability is suitable for DM and can solve these problems.nThis contribution introduces some of the potential ways how to construct quantum formulation of DM task and discusses related open questions.",decision-making;quantum decision making
125,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00570457%21RIV24-AV0-67985556,Can we reach a herd immunity by vaccination?,10103,"Šmíd, Martin","The book is a collection of the conference organized by the Center for Modeling Social and Biological Processes (BISOP) in mid-June 2021, so it is a kind of snapshot of the state of affairs, knowledge and social discussion at the time of its holding. The first part presents general texts that readers can use to orient themselves in the issue. In the second part, you can find contributions devoted to specific problems arising in connection with the pandemic from the point of view of mathematical modeling, logistics, psychology and sociology. The contributions in the final part are devoted to the evaluation of the effects of the pandemic and the possibilities of learning from them. It is up to the reader to judge what of the book's content has stood the test of time and what has not, in any case it is an interesting document about the workings of a scientific initiative.",mathematicval modelling;logistic;psychology;COVID-19
126,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00575077%21RIV24-AV0-67985556,Dual-Cycle: Self-Supervised Dual-View Fluorescence Microscopy Image Reconstruction using CycleGAN,10201,"Kerepecký, Tomáš;Liu, J.;Ng, X. W.;Piston, D. W.;Kamilov, U. S.","Three-dimensional fluorescence microscopy often suffers from anisotropy, where the resolution along the axial direction is lower than that within the lateral imaging plane. We address this issue by presenting Dual-Cycle, a new framework for joint deconvolution and fusion of dual-view fluorescence images. Inspired by the recent Neuroclear method, Dual-Cycle is designed as a cycle-consistent generative network trained in a self-supervised fashion by combining a dual-view generator and prior-guided degradation model. We validate Dual-Cycle on both synthetic and real data showing its state-of-the-art performance without any external training data.",Light-sheet fluorescence microscopy;Dual-view imaging;deep learning;image deconvolution
127,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00583793%21RIV24-AV0-67985556,"Editorial to special issue “Hidden market linkages between Bitcoin, cryptocurrencies and financial markets: Evidence from high-frequency data and higher-order moments” in financial innovation",50206,"Bouri, E.;Shahzad, S. J. H.;Krištoufek, Ladislav","The cryptomarket has evolved into a complex system of different types of cryptoassets, each playing an important role within the system. With specific features, opportunities, and risks. Studying their apparent and hidden linkages and general connectedness not only inside the system but also the linkages to the outer markets, being it either the traditional financial markets or the macroeconomic and monetary indicators and variables, plays a crucial role in understanding the market, managing risks, and aiming for profitable opportunities.",Bitcoin;high-frequency data;cryptocurrencies
128,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00572530%21RIV24-AV0-67985556,Estimation of Expected Shortfall in Linear Model,10103,"Jurečková, Jana","The possibly incurred loss of a portfolio can be linearly affected by unobservable covariates, while we observe only the resulting response. We propose the method of estimating the true loss with the aidnof regression quantiles.n",Linear model;Expected shortfall;Regression quantile
129,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00566494%21RIV24-AV0-67985556,Estimation of heuristic switching in behavioral macroeconomic models,50202,"Kukačka, Jiří;Sacht, S.","This paper addresses the issue of empirical validation of macroeconomic models with behavioral heuristics and a nonlinear switching mechanism. Heuristic switching is an important feature of modeling strategy since it uses simple decision rules of boundedly rational heterogeneous agents. The simulation study shows that the proposed simulated maximum likelihood method well identifies behavioral effects that remain hidden under standard econometric approaches. In the empirical application, we estimate the structural and behavioral parameters of the US economy. We are specifically able to reliably identify the intensity of choice that governs the models’ nonlinear dynamics. Our empirical results thus lay the foundation for studying monetary and fiscal policy in a behavioral macroeconomic framework.",Behavioral heuristics;Heuristic switching model;Intensity of choice;Simulated maximum likelihood
130,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00576561%21RIV24-AV0-67985556,Existence results in large-strain magnetoelasticity,10101,"Bresciani, M.;Davoli, E.;Kružík, Martin","We investigate variational problems in large-strain magnetoelasticity, in both the static and the quasistatic settings. The model contemplates a mixed Eulerian–Lagrangian formulation: while deformations are defined on the reference configuration, magnetizations are defined on the deformed set in the actual space. In the static setting, we establish the existence of minimizers. In particular, we provide a compactness result for sequences of admissible states with equi-bounded energies which gives the convergence of the composition of magnetizations with deformations. In the quasistatic setting, we consider a notion of dissipation which is frame-indifferent and we show that the incremental minimization problem is solvable. Then we propose a regularization of the model in the spirit of gradient polyconvexity and we prove the existence of energetic solutions for the regularized model.",magnetoelasticity;Eulerian-Lagrangian variational problems;rate-independent processes
131,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00575198%21RIV24-AV0-67985556,Experiments with the User’s Feedback in Preference Elicitation,10201,"Siváková, Tereza;Kárný, Miroslav","This paper deals with user’s preferences (wishes). Common users are uneducated in the decision-making (DM) theory and present their preferences incompletely. That is why we elicit them from such a user during the DM. The paper works with the DM theory called fully probabilistic design (FPD). FPD models closed DM loop, made by the user and the system, by the joint probability density (pd, real pd). A joint ideal pd quantifies the user’s preferences. It assigns high probability values to preferred closed-loop behaviors and low values to undesired behaviors. The real pd should be kept near the ideal pd. By minimizing the Kullback-Leibler divergence of the real and ideal pds, the optimal decision policy is found. The presented algorithmic quantification of preferences provides ambitious but potentially reachable DM aims. It suppresses demands on tuning preference-expressing parameters. The considered ideal pd assigns high probabilities to desired (ideal) sets of states and actions. The parameters of the ideal pd (tuned during the DM via the user’s feedback) are: ▶ relative significance of respective probabilities. ▶ a parameter balancing exploration with exploitation. Their systematic tuning solves meta-DM level task, which observes the agent’s satisfaction expressed humanly by “school-marks”. It opts free parameters to reach the best marks. A formalization and solution of this meta-task were recently done, but experience with it is limited. This paper recalls the theory and provides representative samples of extensive up to now missing simulations.n",Preference elicitation;Adaptive agent;Decision making;Bayes rule
132,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00583789%21RIV24-AV0-67985556,Exploring sources of statistical arbitrage opportunities among Bitcoin exchanges,50206,"Krištoufek, Ladislav;Bouri, E.","We investigate potential sources of emerging statistical arbitrage opportunities in the Bitcoin market across five exchanges – Binance, Bitfinex, Bitstamp, Coinbase, and Kraken – via the instrumental variables approach to control for apparent endogeneity. We show that arbitrage opportunities arise when the network is congested and Bitcoin prices are volatile. Increased exchanges volume and on-chain activity increase the correlation between exchanges and thus reduce the arbitrage opportunities. These outcomes are intuitive and economically valid which supports the notion that Bitcoin market is highly volatile and risky but its behavior follows standard economic and financial intuition.",Cryptocurrencies;Cryptoassets;Bitcoin;Arbitrage;Exchanges
133,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00571273%21RIV24-AV0-67985556,Fast Bayesian Algorithms for FPGA Platforms,20205,"Likhonina, Raissa","The abstract describes application of the QRD RLS Lattice algorithm for hand detection based on ultrasound and implemenation of the algorithm on FPGA platform. It discusses the results of implementation in terms of algorithm acceleration, computational time and MFLOP/s.",QRD RLS Lattice algorithms;FPGA;parallel implementation;HW accelerators
134,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00573491%21RIV24-AV0-67985556,FIXED-TIME SAFE TRACKING CONTROL OF SYSTEMS VIA UNIFIED TRANSFORMATION FUNCTIONS,20205,"Guo, Ch.;Hu, J.;Hao, J.;Čelikovský, Sergej;Hu, X.","In this paper, a fixed-time safe control problem is investigated for an uncertain high-order nonlinear pure-feedback system with state constraints. A new nonlinear transformation function is firstly proposed to handle both the constrained and unconstrained cases in a unified way. Further, a radial basis function neural network is constructed to approximate the unknown dynamics in the system and a fixed-time dynamic surface control (FDSC) technique is developed to facilitate the fixed-time control design for the uncertain high-order pure-feedback system. Combined with the proposed unified transformation function and the FDSC technique, an adaptive fixed-time control strategy is proposed to guarantee the fixed-time tracking. The novel original  results of the paper allow to design the independent unified flexible fixed-time control strategy taking into account the actual possible constraints, either present or missing. Numerical examples are presented to demonstrate the proposed fixed-time tracking control strategy.",Fixed-time safe control;Nonlinear pure-feedback systems;State constrains;State constrains;Dynamic surface control;Unified transformation function
135,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00569560%21RIV24-AV0-67985556,Fundamental and speculative components of the cryptocurrency pricing dynamics,50202,"Kukačka, Jiří;Krištoufek, Ladislav","The driving forces behind cryptoassets’ price dynamics are often perceived as being dominated by speculative factors and inherent bubble-bust episodes. Fundamental components are believed to have a weak, if any, role in the price-formation process. This study examines five cryptoassets with different backgrounds, namely Bitcoin, Ethereum, Litecoin, XRP, and Dogecoin between 2016 and 2022. It utilizes the cusp catastrophe model to connect the fundamental and speculative drivers with possible price bifurcation characteristics of market collapse events. The findings show that the price and return dynamics of all the studied assets, except for Dogecoin, emerge from complex interactions between fundamental and speculative components, including episodes of price bifurcations. Bitcoin shows the strongest fundamentals, with on-chain activity and economic factors driving the fundamental part of the dynamics. Investor attention and off-chain activity drive the speculative component for all studied assets. Among the fundamental drivers, the analyzed cryptoassets present their coin-specific factors, which can be tracked to their protocol specifics and are economically sound.",Cryptocurrency;Crash;Bitcoin;Cusp catastrophe model
136,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00570446%21RIV24-AV0-67985556,Do counterepidemic means work? Correlation vs causality,10103,"Šmíd, Martin;Kuběna, Aleš Antonín","The book is a collection of the conference organized by the Center for Modeling Social and Biological Processes (BISOP) in mid-June 2021, so it is a kind of snapshot of the state of affairs, knowledge and social discussion at the time of its holding. The first part presents general texts that readers can use to orient themselves in the issue. In the second part, you can find contributions devoted to specific problems arising in connection with the pandemic from the point of view of mathematical modeling, logistics, psychology and sociology. The contributions in the final part are devoted to the evaluation of the effects of the pandemic and the possibilities of learning from them. It is up to the reader to judge what of the book's content has stood the test of time and what has not, in any case it is an interesting document about the workings of a scientific initiative.",BISOP;mathematics modelling;logistics;psychology;sociology
137,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00573514%21RIV24-AV0-67985556,GENERALIZED SYNCHRONIZATION IN THE NETWORKS WITH DIRECTED ACYCLIC STRUCTURE,20205,"Čelikovský, Sergej;Lynnyk, Volodymyr;Lynnyk, Anna;Rehák, Branislav","Generalized synchronization in the direct acyclic networks, i.e. the networks represented by the directed tree, is presented here. Network nodes consist of copies of the so-called generalized Lorenz system with possibly different parameters yet mutually structurally equivalent. The difference in parameters actually requires the generalized synchronization rather than the identical one. As the class of generalized Lorenz systems includes the well-known particular synchronized using the presented approach as well. The main theorem is rigorously mathematically formulated and proved in detail. Extensive numerical simulations are included to illustrate and further substantiate these theoretical results. Moreover, during these numerical experiments, the so-called duplicated system approach is used to double-check the generalized synchronization.",Generalized Lorenz system;Generalized synchronization;Chaos;Networks
138,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00581872%21RIV24-AV0-67985556,Global weight optimization of frame structures with polynomial programming,10102,"Tyburec, Marek;Kočvara, Michal;Kružík, Martin","Weight optimization of frame structures with continuous cross-section parametrization is a challenging non-convex problem that has traditionally been solved by local optimization techniques. Here, we exploit its inherent semi-algebraic structure and adopt the Lasserre hierarchy of relaxations to compute the global minimizers. While this hierarchy generates a natural sequence of lower bounds, we show, under mild assumptions, how to project the relaxed solutions onto the feasible set of the original problem and thus construct feasible upper bounds. Based on these bounds, we develop a simple sufficient condition of global Ɛ-optimality. Finally, we prove that the optimality gap converges to zero in the limit if the set of global minimizers is convex. We demonstrate these results by means of two academic illustrations.",Topology optimization;Frame structures;Semidefinite programming;Polynomial optimization;Global optimality
139,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00579554%21RIV24-AV0-67985556,Governmental Anti-Covid Measures Effectiveness Detection,20205,"Žid, Pavel;Haindl, Michal;Havlíček, Vojtěch","We present a retrospective analysis of Czech anti-covid governmental measures' effectiveness for an unusually long three years of observation. Numerous Czech government restrictive measures illustrate this analysis applied to three years of COVID-19 data from the first three COVID-19 cases detected on 1st March 2020 till March 2023. It illustrates the  course from the dramatic combat of unknown illness to    resignation to country-wide measures and placing COVID-19 into a  category of common nuisances. Our analysis uses the derived adaptive recursive Bayesian stochastic multidimensional Covid model-based prediction of nine essential publicly available  COVID-19 data series. The COVID-19 model enables us to differentiate between effective measures and solely nuisance or antagonistic provisions and their correct or wrong timing. Our COVID model allows us to predict vital covid statistics such as the number of hospitalized, deaths, or symptomatic individuals, which can serve for daily control of anti-covid measures and the necessary precautions and formulate recommendations to control future pandemics.",COVID-19;Recursive forecasting model;Machine learning method;Prediction;Anti-pandemic measures
140,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00568617%21RIV24-AV0-67985556,Grid-based Bayesian Filters with Functional Decomposition of Transient Density,20205,"Tichavský, Petr;Straka, O.;Duník, J.","The paper deals with the state estimation of nonlinear stochastic dynamic systems with special attention to grid-based Bayesian filters such as the point-mass filter (PMF) and the marginal particle filter (mPF).  In the paper, a novel functional decomposition of the transient density describing the system dynamics is proposed. The decomposition approximates the transient density in a closed region. It is based on a non-negative matrix/tensor factorization and separates the density into functions of the future and current states. Such decomposition facilitates a thrifty calculation of the convolution involving the density, which is a performance bottleneck of the standard PMF/mPF implementations. The estimate quality and computational costs can be efficiently controlled by choosing an appropriate decomposition rank. The performance of the PMF with the transient density decomposition is illustrated in a terrain-aided navigation scenario and a problem involving a univariate non-stationary growth model.",State estimation;nonlinear filtering;non-negative matrix factorization
141,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00578508%21RIV24-AV0-67985556,H-NeXt: The next step towards roto-translation invariant networks,20206,"Karella, Tomáš;Šroubek, Filip;Blažek, Jan;Flusser, Jan;Košík, Václav","The widespread popularity of equivariant networks underscores the significance of parameter efficient models and effective use of training data. At a time when robustness to unseen deformations is becoming increasingly important, we present H-NeXt, which bridges the gap between equivariance and invariance. H-NeXt is a parameter-efficient roto-translation invariant network that is trained without a single augmented image in the training set. Our network comprises three components: an equivariant backbone for learning roto-translation independent features, an invariant pooling layer for discarding roto-translation information, and a classification layer. H-NeXt outperforms the state of the art in classification on unaugmented training sets and augmented test sets of MNIST and CIFAR-10",H-NeXT;robustness to unseen deformations;parameter-efficient roto-translation invariant network;classification on unaugmented training set
142,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00571220%21RIV24-AV0-67985556,History of Statistical Thinking: From Uncertainty to Uncertain Knowledge,10103,"Kalina, Jan;Soukup, Lubomír","Currently, an enormous amount of data is available to the humankind in various fields and it is exactly the data (information) which may be transferred to practically useful knowledge. The data are subject to uncertainty and their analysis, i.e. extracting knowledge from the data, requires statistical thinking and statistical methods. Thus, the concept of the knowledge society requiring reliable knowledge to be available to all citizens is heavily depending on statistics. This paper is devoted to an overview of the historical development of basic probabilistic and statistical concepts. Such overview is intended to encourage readers to think anew about statistical ideas in the light of their historical development. The paper recalls that any knowledge obtained by statistical methods is highly probable but not absolutely certain.",history of statistics;information and knowledge;uncertainty;probability;data analysis;methodology of science
143,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F23%3A00575213%21RIV24-AV0-67985556,How subcultures emerge,10602,"Tureček, P.;Kozák, M.;Slavík, Jakub","Sympatric speciation is typically presented as a rare phenomenon, but urban subcultures frequently emerge even in the absence of geographic isolation. Is there perhaps something that culture has but bio-logical inheritance does not that would account for this difference? We present a novel model that combines assortative interaction and multidimensional inheritance. Our computer simulations show that assortment alone can lead to the formation of cohesive clusters of individuals with low within-group and large between-group variability even in the absence of a spatial separation or disruptive natural selection. All it takes is a proportionality between the variance of inputs (cultural ‘parents’) and outputs (cultural ‘offspring’). We argue that variability-dependent inheritance cannot be easily accomplished by genes alone, but it may be the norm, not the exception, in the transmission of culture between humans. This model explains the frequent emergence of subcultures and behavioural clustering in our species and possibly also other cultural animals.",cultural evolution;cultural divergence;sympatric speciation;Galton–Pearson model;PVDI
